Tanggal|KODE EFEK|Nama Saham|Haircut|Keterangan|Status
20260630|BGTG|BANK GANESHA Tbk|50|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BHAT|BHAKTI MULTI ARTHA Tbk|100|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BHIT|MNC ASIA HOLDING Tbk|100|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BIKA|BINAKARYA JAYA ABADI Tbk|100|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BIMA|PRIMARINDO ASIA INFRASTRUCTURE Tbk|100|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BINA|BANK INA PERDANA Tbk|85|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BIPI|ASTRINDO NUSANTARA INFRASTRUKTUR Tbk|100|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BIPP|BHUWANATALA INDAH PERMAI Tbk|60|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BIRD|BLUE BIRD Tbk|15|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BISI|BISI INTERNATIONAL Tbk|85|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BJBR|BANK JABAR BANTEN Tbk|15|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BJTM|BANK PEMBANGUNAN DAERAH JAWA TIMUR Tbk|10|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BKDP|BUKIT DARMO PROPERTY Tbk|100|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BKSL|SENTUL CITY Tbk|40|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BKSW|BANK QNB INDONESIA Tbk|85|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BLTA|BERLIAN LAJU TANKER Tbk|100|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BLTZ|GRAHA LAYAR PRIMA Tbk|100|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BLUE|BERKAH PRIMA PERKASA Tbk|100|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BMAS|BANK MASPION INDONESIA Tbk|100|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BMRI|BANK MANDIRI ( PERSERO ) Tbk|5|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BMSR|BINTANG MITRA SEMESTARAYA Tbk|100|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BMTR|GLOBAL MEDIACOM Tbk|25|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BNBA|BANK BUMI ARTA Tbk|90|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BNBR|BAKRIE AND BROTHERS Tbk|80|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BNGA|BANK CIMB NIAGA Tbk|15|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BNII|BANK MAYBANK INDONESIA Tbk|20|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BNLI|BANK PERMATA Tbk|85|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BOGA|BINTANG OTO GLOBAL Tbk|95|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BOLA|BALI BINTANG SEJAHTERA Tbk|65|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
